Experiment_Number,Experiment_Start,Experiment_End,Profile_name,Treatment,Incubator,Species,Well,Frond_count,Initial_weight,Final_weight,Program_mean,Obs_mean,Program_sd,Obs_sd,Gaps,Gap_size,Remarks
9,11-Nov-23,21-Nov-23,summer-constant-24,constant24,2,LP,11,22,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-24,constant24,2,LP,12,18,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LM,1,19,,,27.5,26.5,5.3,5.5,,,electrical shutdown in the building; remained at 20C for ~24h
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LM,2,22,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LM,3,20,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LM,4,22,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LM,5,10,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LM,6,17,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LM,7,27,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LM,8,19,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LM,9,14,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LM,10,18,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LM,11,10,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LM,12,9,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LP,1,16,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LP,2,14,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LP,3,13,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LP,4,2,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LP,5,12,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LP,6,13,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LP,7,9,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LP,8,11,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LP,9,14,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LP,10,20,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LP,11,16,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-nw-27.5,nw275,3,LP,12,15,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LM,1,19,,,27.5,26.7,0.1,2.4,,,electrical shutdown in the building; remained at 20C for ~24h
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LM,2,18,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LM,3,18,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LM,4,22,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LM,5,19,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LM,6,29,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LM,7,22,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LM,8,16,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LM,9,34,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LM,10,17,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LM,11,23,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LM,12,16,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LP,1,16,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LP,2,3,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LP,3,18,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LP,4,17,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LP,5,19,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LP,6,18,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LP,7,17,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LP,8,16,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LP,9,22,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LP,10,16,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LP,11,3,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-constant-27.5,constant275,4,LP,12,13,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LM,1,21,,,24,23.4,7.8,7.4,,,electrical shutdown in the building; remained at 20C for ~24h
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LM,2,28,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LM,3,20,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LM,4,29,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LM,5,20,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LM,6,23,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LM,7,17,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LM,8,22,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LM,9,23,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LM,10,25,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LM,11,21,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LM,12,19,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LP,1,17,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LP,2,18,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LP,3,16,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LP,4,8,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LP,5,20,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LP,6,15,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LP,7,16,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LP,8,13,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LP,9,15,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LP,10,14,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LP,11,11,,,,,,,,,
9,11-Nov-23,21-Nov-23,summer-control-24,control24,6,LP,12,15,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LM,1,10,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LM,2,14,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LM,3,19,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LM,4,8,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LM,5,26,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LM,6,3,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LM,7,17,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LM,8,7,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LM,9,15,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LM,10,10,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LM,11,16,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LM,12,6,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LP,1,13,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LP,2,18,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LP,3,17,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LP,4,11,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LP,5,26,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LP,6,19,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LP,7,20,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LP,8,14,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LP,9,12,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LP,10,18,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LP,11,14,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-24,constant24,2,LP,12,25,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LM,1,8,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LM,2,10,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LM,3,21,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LM,4,14,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LM,5,5,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LM,6,23,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LM,7,23,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LM,8,9,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LM,9,10,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LM,10,23,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LM,11,8,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LM,12,19,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LP,1,20,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LP,2,25,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LP,3,17,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LP,4,19,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LP,5,16,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LP,6,24,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LP,7,20,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LP,8,16,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LP,9,20,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LP,10,20,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LP,11,25,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-nw-27.5,nw275,3,LP,12,17,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LM,1,12,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LM,2,36,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LM,3,26,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LM,4,28,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LM,5,26,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LM,6,27,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LM,7,19,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LM,8,26,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LM,9,23,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LM,10,27,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LM,11,17,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LM,12,4,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LP,1,15,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LP,2,14,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LP,3,15,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LP,4,14,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LP,5,32,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LP,6,18,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LP,7,25,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LP,8,23,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LP,9,22,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LP,10,34,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LP,11,24,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-constant-27.5,constant275,4,LP,12,20,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LM,1,16,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LM,2,23,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LM,3,22,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LM,4,22,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LM,5,24,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LM,6,18,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LM,7,18,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LM,8,15,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LM,9,24,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LM,10,16,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LM,11,18,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LM,12,15,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LP,1,24,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LP,2,22,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LP,3,13,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LP,4,16,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LP,5,13,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LP,6,13,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LP,7,30,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LP,8,2,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LP,9,21,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LP,10,2,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LP,11,17,,,,,,,,,
10,2-Feb-24,12-Feb-24,summer-control-24,control24,6,LP,12,24,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LM,1,8,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LM,2,15,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LM,3,18,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LM,4,13,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LM,5,9,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LM,6,9,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LM,7,18,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LM,8,10,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LM,9,12,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LM,10,15,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LM,11,9,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LM,12,12,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LP,1,8,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LP,2,13,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LP,3,15,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LP,4,2,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LP,5,13,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LP,6,10,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LP,7,10,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LP,8,9,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LP,9,9,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LP,10,10,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LP,11,10,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,2,LP,12,12,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LM,1,14,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LM,2,18,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LM,3,18,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LM,4,10,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LM,5,9,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LM,6,25,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LM,7,19,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LM,8,14,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LM,9,14,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LM,10,16,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LM,11,16,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LM,12,6,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LP,1,3,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LP,2,16,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LP,3,9,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LP,4,13,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LP,5,13,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LP,6,17,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LP,7,7,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LP,8,13,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LP,9,16,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LP,10,16,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LP,11,11,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,3,LP,12,9,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LM,1,15,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LM,2,17,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LM,3,14,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LM,4,16,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LM,5,10,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LM,6,14,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LM,7,10,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LM,8,9,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LM,9,27,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LM,10,24,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LM,11,15,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LM,12,15,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LP,1,10,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LP,2,13,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LP,3,9,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LP,4,13,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LP,5,16,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LP,6,9,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LP,7,19,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LP,8,11,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LP,9,18,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LP,10,22,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LP,11,9,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,4,LP,12,3,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LM,1,21,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LM,2,28,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LM,3,26,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LM,4,26,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LM,5,24,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LM,6,16,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LM,7,29,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LM,8,17,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LM,9,26,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LM,10,27,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LM,11,24,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LM,12,14,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LP,1,12,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LP,2,22,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LP,3,23,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LP,4,9,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LP,5,11,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LP,6,8,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LP,7,14,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LP,8,11,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LP,9,22,,,,,,,,,
11,26-Feb-24,7-Mar-24,summer-control-24,control24,6,LP,10,4,,,,,,,,,
